X,Y,Name,Lat,Lon,Q1 amp,Q1 phase,O1 amp,O1 phase,P1 amp,P1 phase,K1 amp,K1 phase,N2 amp,N2 phase,M2 amp,M2 phase,S2 amp,S2 phase,K2 amp,K2 phase
-905036.113940848,9033408.51467577,MERAUKE,-8.533333333333330,140.333333333333002,0.075000000000000,45.700001000000000,0.502000000000000,90.970000999999996,0.207000000000000,164.779999000000004,0.796000000000000,160.419997999999993,0.220000000000000,7.820000000000000,1.130000000000000,47.990001999999997,0.455000000000000,152.699996999999996,0.164000000000000,126.839995999999999
-778467.299823583,8892596.50819375,TURU CAY,-9.816666666666670,141.416666666666998,0.082800000000000,90.690002000000007,0.438300000000000,119.930000000000007,0.204600000000000,173.889998999999989,0.785000000000000,182.410003999999986,0.237400000000000,79.099997999999999,0.939200000000000,124.839995999999999,0.162800000000000,197.199996999999996,0.055800000000000,167.820007000000004
-691201.732721125,8961203.86966381,BOIGU I.,-9.233333333333331,142.216666666667010,0.064500000000000,162.100006000000008,0.396100000000000,166.759995000000004,0.198300000000000,221.080002000000007,0.742800000000000,231.619994999999989,0.137500000000000,117.660004000000001,0.556000000000000,168.009995000000004,0.343900000000000,36.330002000000000,0.089900000000000,9.770000000000000
-582017.184790785,8983087.71508085,DARU,-9.066666666666670,143.199999999999989,0.033200000000000,142.309998000000007,0.191100000000000,165.080002000000007,0.125700000000000,209.240004999999996,0.399300000000000,211.589996000000014,0.257400000000000,316.350006000000008,0.765000000000000,326.720001000000025,0.498400000000000,317.220001000000025,0.148900000000000,315.470001000000025
-572629.838535832,8979602.92215983,BRISTOW I.,-9.100000000000000,143.283333333332990,0.025900000000000,130.520004000000000,0.158900000000000,165.070007000000004,0.113600000000000,202.830002000000007,0.360900000000000,205.179992999999996,0.212000000000000,290.869995000000017,0.796100000000000,323.049987999999985,0.467600000000000,311.679993000000024,0.139700000000000,309.929993000000024
-518630.644971333,9048236.72254452,UMUDA I.,-8.500000000000000,143.783333333332990,0.039100000000000,109.739998000000000,0.147100000000000,157.919997999999993,0.089400000000000,194.889998999999989,0.305300000000000,199.600006000000008,0.419300000000000,305.130004999999983,0.921100000000000,320.070006999999976,0.590900000000000,302.709991000000002,0.160300000000000,300.380004999999983
-474056.18999424,9133192.57011527,GOARIBARI I.,-7.750000000000000,144.199999999999989,0.010700000000000,19.000000000000000,0.132300000000000,140.669997999999993,0.087300000000000,206.800003000000004,0.298200000000000,211.509995000000004,0.442100000000000,307.000000000000000,1.046900000000000,323.079987000000017,0.555000000000000,304.559998000000007,0.150600000000000,302.230010999999990
-425933.329681099,9143484.59880018,URAMU I.,-7.666666666666670,144.633333333333013,0.005400000000000,58.119999000000000,0.132200000000000,157.449996999999996,0.094300000000000,213.389998999999989,0.322200000000000,218.100006000000008,0.304100000000000,309.850006000000008,0.967900000000000,315.720001000000025,0.590900000000000,288.609984999999995,0.160400000000000,286.279998999999975
-502695.89787627,9168037.58073443,OMATI,-7.433333333333330,143.949999999999989,0.060800000000000,163.329604999999987,0.179000000000000,176.518402000000009,0.033200000000000,204.348693999999995,0.279000000000000,234.460998999999987,0.440700000000000,8.764500000000000,1.272800000000000,22.460300000000000,0.728300000000000,10.288399999999999,0.728300000000000,10.288399999999999
-469236.776860211,9170579.87757688,KIKORI,-7.416666666666670,144.250000000000000,0.030000000000000,115.000000000000000,0.140000000000000,180.000000000000000,0.090000000000000,231.000000000000000,0.280000000000000,231.000000000000000,0.240000000000000,351.000000000000000,0.740000000000000,2.000000000000000,0.380000000000000,344.000000000000000,0.100000000000000,344.000000000000000
