Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
0,0.0,0.0022666139240506322,0.0,0.0,3.158455276958162e-26,0.0,0.0,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
1,0.08750000000000001,0.0022666139240506322,0.052083333333333336,0.00390295358649789,3.64145101014404e-08,4.5,0.38095238095238093,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
2,0.0625,0.0022666139240506322,0.04000000000000001,0.006012658227848101,3.64145101014404e-08,3.5,0.1,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
3,0.0,0.0022666139240506322,0.0,0.0,3.158455276958162e-26,0.0,0.0,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
4,0.0125,0.0022666139240506322,0.0125,0.0,1.926657718944479e-24,1.0,0.0,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
5,0.125,0.0022666139240506322,0.06805555555555555,0.00469409282700422,2.4397721767965085e-06,6.0,0.32142857142857145,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
6,0.025,0.0022666139240506322,0.03125,0.0,3.64145101014405e-08,2.833333333333333,1.0,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
7,0.05,0.0022666139240506322,0.0,0.0,3.158455276958162e-26,0.0,0.16666666666666666,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
8,0.2,0.0022666139240506322,0.13333333333333333,0.0270042194092827,0.20900604560710925,12.333333333333332,0.0989010989010989,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
9,0.025,0.0022666139240506322,0.047058823529411764,0.0,2.3669431565936274e-06,4.166666666666666,1.0,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
10,0.0,0.0022666139240506322,0.0,0.0,3.158455276958162e-26,0.0,0.0,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
11,0.0,0.0022666139240506322,0.0,0.0,3.158455276958162e-26,0.0,0.0,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
12,0.0,0.0022666139240506322,0.0,0.0,3.158455276958162e-26,0.0,0.0,0.011574074074074073,0.2645795406799253,0.15384615384615385,0.09263374485596727
