Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
0,0.0,0.0007990506329113918,0.0,0.0,9.778180559065023e-28,0.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
1,0.037500000000000006,0.0007990506329113918,0.016666666666666666,0.0,2.5999022765334725e-05,1.5,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
2,0.0625,0.0007990506329113918,0.0125,0.00015822784810126583,2.5999022765334725e-05,1.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
3,0.0125,0.0007990506329113918,0.0,0.0,9.778180559065023e-28,0.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
4,0.0,0.0007990506329113918,0.0,0.0,9.778180559065023e-28,0.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
5,0.037500000000000006,0.0007990506329113918,0.0125,0.0,2.752313145135409e-13,1.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
6,0.025,0.0007990506329113918,0.0,0.0,1.3761565725677083e-13,0.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
7,0.025,0.0007990506329113918,0.0,0.0,1.3761565725677083e-13,0.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
8,0.05,0.0007990506329113918,0.0,0.0,1.3761565725677083e-13,0.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
9,0.05,0.0007990506329113918,0.0125,0.00015822784810126583,3.371583602790885e-12,1.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
10,0.037500000000000006,0.0007990506329113918,0.016666666666666666,0.0,4.056221497643319e-11,1.5,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
11,0.025,0.0007990506329113918,0.0,0.0,1.3761565725677083e-13,0.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
12,0.0,0.0007990506329113918,0.0,0.0,9.778180559065023e-28,0.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
13,0.025,0.0007990506329113918,0.0,0.0,1.3761565725677083e-13,0.0,0.0,0.018827160493827162,"{0: 0.03120042305658382, 1: 0.057057057057057055, 2: 0.19696969696969696, 3: 0.5, 4: 1.0}",0.25,0.03933972663139327
