Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
16,0.0125,0.0016416139240506332,0.0225,0.0,6.040500077685929e-142,2.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
17,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
18,0.025,0.0016416139240506332,0.028124999999999997,0.0,3.040047639984288e-142,2.5,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
19,0.037500000000000006,0.0016416139240506332,0.044642857142857144,0.0,6.066877681533859e-142,4.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
20,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
21,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
22,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
23,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
24,0.0125,0.0016416139240506332,0.06621621621621622,0.0,0.00022480596306030377,5.999999999999999,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
25,0.037500000000000006,0.0016416139240506332,0.06621621621621622,0.004061181434599157,0.00022480596306030377,5.999999999999999,0.3333333333333333,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
