Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
0,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
1,0.005084745762711864,3.331205198826122e-05,0.0051654560129136395,0.0,1.1976317126795633e-61,4.533333333333333,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
2,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
3,0.001694915254237288,3.331205198826122e-05,0.001694915254237288,0.0,1.7801939531783408e-68,1.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
4,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
5,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
6,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
7,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
8,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
9,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
10,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
11,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
12,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
13,0.005084745762711864,3.331205198826122e-05,0.0041525423728813555,0.00010071652614313256,5.988159453494796e-62,3.533333333333333,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
14,0.005084745762711864,3.331205198826122e-05,0.0038740920096852296,9.208368104514978e-05,1.3872879155589014e-60,3.15,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
15,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
16,0.003389830508474576,3.331205198826122e-05,0.003259452411994785,7.194037581652326e-06,2.1386004017717357e-63,2.416666666666667,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
17,0.003389830508474576,3.331205198826122e-05,0.003259452411994785,7.194037581652326e-06,2.1386004017717357e-63,2.416666666666667,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
18,0.003389830508474576,3.331205198826122e-05,0.003259452411994785,1.4388075163304652e-05,2.1386004017717357e-63,2.416666666666667,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
19,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
20,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
21,0.001694915254237288,3.331205198826122e-05,0.0032114183764495982,0.0,5.988157685749755e-62,2.533333333333333,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
22,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
23,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
24,0.003389830508474576,3.331205198826122e-05,0.003389830508474576,0.0,3.5479389975931992e-68,2.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
25,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
26,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
27,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
28,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
29,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
30,0.001694915254237288,3.331205198826122e-05,0.003259452411994785,0.0,2.1386004017717357e-63,2.416666666666667,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
