Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
10,0.0,6.352969064833465e-05,0.0,0.0,4.83407433001026e-67,0.0,0.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
11,0.003076923076923077,6.352969064833465e-05,0.0,0.0,1.2255834451970764e-36,0.0,0.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
12,0.007692307692307693,6.352969064833465e-05,0.002307692307692308,7.111532535261349e-06,1.3079709526983451e-18,1.8333333333333333,0.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
13,0.0,6.352969064833465e-05,0.0,0.0,4.83407433001026e-67,0.0,0.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
14,0.0,6.352969064833465e-05,0.0,0.0,4.83407433001026e-67,0.0,0.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
15,0.007692307692307693,6.352969064833465e-05,0.0035164835164835165,7.111532535261349e-06,1.868357147304615e-18,2.833333333333333,0.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
16,0.006153846153846154,6.352969064833465e-05,0.0020512820512820513,2.3705108450871163e-06,1.3043162935207615e-22,1.5,1.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
17,0.0,6.352969064833465e-05,0.0,0.0,4.83407433001026e-67,0.0,0.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
18,0.0,6.352969064833465e-05,0.0,0.0,4.83407433001026e-67,0.0,0.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
19,0.0,6.352969064833465e-05,0.0,0.0,4.83407433001026e-67,0.0,0.0,0.0024932057190121706,"{0: 0.006883004760282924, 1: 0.010709447415329768, 2: 0.017210793314867263, 3: 0.02528735632183908, 4: 0.03560746332431278, 5: 0.04673135852911134, 6: 0.057539682539682536, 7: 0.0824829931972789, 8: 0.11092436974789915, 9: 0.12554112554112554, 10: 0.1111111111111111, 11: 0.1111111111111111, 12: 0.0, 13: 0.0, 14: 0.0}",0.10583446404341927,0.0753148714140053
