Node,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient
0,0.1137440758293839,0.3841905223584259,0.0,0.029986948626493527,185.08333333333385,0.7169082125603865
1,0.037914691943127965,0.285715897733501,3.236069255196825e-05,0.0002829965215040665,130.01666666666623,0.8444444444444444
2,0.05687203791469195,0.32967218969250117,0.0025926025985395255,0.002247595279399598,154.71666666666704,0.6274509803921569
3,0.05924170616113744,0.3260887963262783,0.0016530950718527749,0.0013776211374585412,152.63333333333367,0.6023391812865497
4,0.06635071090047394,0.3320176835322107,0.0026456851392910445,0.001884827119427773,157.21666666666704,0.5974025974025974
5,0.06635071090047394,0.33071052729783185,0.0037015017907961224,0.0024247821432710993,156.38333333333375,0.5714285714285714
6,0.06398104265402844,0.3986879407825016,0.0,0.028385882681917413,181.08333333333408,0.9904761904761905
7,0.2796208530805687,0.48380726698262244,0.0004803951546466781,0.09272872665684054,231.50000000000045,0.6501679731243001
8,0.06872037914691943,0.40465907353615654,0.0,0.03151056258587679,183.9166666666675,0.9644268774703557
9,0.16113744075829384,0.4181477093206951,0.0001649556907551821,0.06085195863751161,197.25000000000102,0.8384353741496599
10,0.13033175355450238,0.4137150480911471,3.320689803824082e-06,0.04842288364839452,192.41666666666757,0.9352226720647774
11,0.35545023696682465,0.46095023074722297,0.0012964166813534009,0.10673631890871284,229.2500000000009,0.607906558849955
12,0.05213270142180095,0.3662607672882001,0.0,0.021858550158535914,166.08333333333388,1.0
13,0.3317535545023697,0.5321879936808848,0.00012771370197504057,0.1059734125254466,254.83333333333354,0.481315228369431
14,0.537914691943128,0.5540127379012364,0.009244394026241193,0.129598245081093,267.5000000000001,0.42634329577004737
15,0.3222748815165877,0.45734905706951035,0.0011442336216619965,0.10283185116095363,222.5833333333341,0.6817661862274079
16,0.11848341232227488,0.4108117845957706,1.41459718546204e-06,0.04671892086828406,189.41666666666757,0.9554367201426025
17,0.4241706161137441,0.4677018319965165,0.0014983904407379252,0.11492215804257316,234.7500000000009,0.5462184873949579
18,0.4407582938388626,0.5354330424228413,0.0018153977072617564,0.11769287004456536,256.83333333333354,0.49095580678314493
19,0.13981042654028436,0.4231856335293782,1.971344646352648e-06,0.05541874020855348,197.25000000000082,0.9111111111111111
20,0.49289099526066354,0.4905643517170166,0.003952979804538219,0.12258264265815659,244.58333333333402,0.49629886652787414
21,0.40284360189573465,0.4677018319965165,0.0012658769954802245,0.11099439530247744,232.4166666666675,0.593078381795196
22,0.13507109004739337,0.3959910663239954,4.748208572701933e-06,0.05074009919247568,184.0833333333343,0.9670731707317073
23,0.33886255924170616,0.5188243365278935,0.0010479398076481746,0.08751798211841728,247.00000000000023,0.508258064516129
24,0.05687203791469195,0.3809588674939088,0.0,0.02402628419738565,172.00000000000077,1.0
25,0.28672985781990523,0.4423728914727757,0.00026037847352395927,0.08570956519032503,214.9166666666676,0.7568627450980392
26,0.46919431279620855,0.49193848155375897,0.0023857193497657386,0.12555203748381635,241.91666666666725,0.5468387096774193
27,0.08530805687203792,0.40512580833838974,1.8315499397554082e-07,0.03312489448594685,184.0833333333342,0.9933333333333333
28,0.08293838862559243,0.4041934129221909,0.0,0.03267775154317226,183.08333333333414,1.0
29,0.5924170616113744,0.5593058532315031,0.008519334393329943,0.1274444993130685,270.8333333333335,0.39504085657931814
30,0.14691943127962087,0.41274274480538653,2.2618208366645897e-05,0.04679991528106567,191.08333333333422,0.9895470383275261
31,0.08530805687203792,0.34811107614408715,5.305450973265666e-07,0.022881318069056054,161.00000000000023,0.9943019943019943
32,0.0971563981042654,0.4055936210500969,1.5715914851853636e-07,0.03269624028020598,184.5833333333342,0.9947089947089947
33,0.3293838862559242,0.44574121298145164,0.000574760961435625,0.08908320381545899,216.58333333333422,0.717948717948718
34,0.15165876777251186,0.41715448435793817,3.661977026389839e-06,0.06199598515862836,195.250000000001,0.970048309178744
35,0.580568720379147,0.5010614491146703,0.00665231927573478,0.12993812020209702,247.08333333333388,0.4596930846930847
36,0.28909952606635075,0.44126140179570844,0.00019154850734300183,0.08051796691859356,213.58333333333425,0.8041139240506329
37,0.3767772511848341,0.5112723083397146,0.0016631557753133668,0.0741978007057668,242.66666666666688,0.5331612903225806
38,0.0971563981042654,0.3933304320597804,5.190024499310198e-07,0.041514069109491354,181.0833333333343,0.9973544973544973
39,0.4099526066350711,0.47020625947708683,0.0013457213153615756,0.11191110678207432,229.083333333334,0.6295246038365304
40,0.1943127962085308,0.4186460975320428,6.220856798841846e-05,0.06429151053003569,197.08333333333434,0.9326599326599326
41,0.10189573459715641,0.3937713854589506,2.503980341257394e-07,0.04266527873816222,181.5833333333343,0.9950738916256158
42,0.14454976303317538,0.40096355688285834,2.7503186678123437e-05,0.020787098836807218,186.25000000000054,0.9534883720930233
43,0.11848341232227488,0.4098530639782776,1.099888302197699e-06,0.048284319310350626,188.7500000000009,0.9946524064171123
44,0.3270142180094787,0.4423728914727757,0.0020205269805069867,0.02640822102284137,204.83333333333343,0.5818972209284272
45,0.2085308056872038,0.42166155561750773,0.00028334202569210747,0.021958343915109663,194.33333333333354,0.8407960199004975
46,0.15876777251184834,0.4226763848729048,7.13038279551621e-05,0.02231715988233593,195.33333333333354,0.8840816326530613
47,0.30568720379146924,0.4791870065885183,0.0010671480276323011,0.04061724858668498,224.3333333333334,0.6124702684335712
48,0.4620853080568721,0.4733747652687115,0.003397278128806176,0.1162986546378245,231.25000000000065,0.5552093212301856
49,0.33886255924170616,0.4491612222882147,0.000700734306436614,0.08797061573513461,220.58333333333425,0.689585666293393
50,0.06872037914691943,0.37566211318650683,1.737442572584642e-07,0.017780941518778015,169.41666666666737,0.9904761904761905
51,0.09004739336492892,0.3885443316696725,0.0,0.037072155219875294,178.00000000000088,1.0
52,0.31042654028436023,0.4664595960549587,0.0015504769057442477,0.03347865001387244,216.3333333333334,0.6038056405028882
53,0.2511848341232228,0.46338268579074393,0.0005811489353526754,0.030956155334880622,213.8333333333334,0.7059609730018711
54,0.3649289099526067,0.48115626825943,0.002802241810061901,0.04146488560622729,225.8333333333334,0.5390019379844961
55,0.0971563981042654,0.4028028392538806,2.039149012520144e-06,0.027965603982841918,182.58333333333414,0.9978494623655914
56,0.047393364928909956,0.3744606352125628,1.737442572584642e-07,0.013527805422833918,168.25000000000068,0.9833333333333333
57,0.5876777251184835,0.5120176032498307,0.006806535592893225,0.13697833973916704,254.58333333333388,0.4493523436771969
58,0.2227488151658768,0.4231856335293782,6.603787683597582e-05,0.07496530069733888,200.9166666666677,0.8948412698412699
59,0.11611374407582939,0.39157645019998205,2.9180984903206938e-06,0.0393639088403548,179.75000000000094,0.9924242424242424
60,0.28199052132701424,0.4368707410813233,0.00012899943602932943,0.07646017288848915,209.58333333333425,0.8533333333333334
61,0.0971563981042654,0.38471421229943475,9.513694810547587e-07,0.03068808747438714,175.8333333333341,0.989247311827957
62,0.1113744075829384,0.39114039624652996,3.4905389007348447e-06,0.03774065179275724,179.25000000000094,0.9913978494623656
63,0.10189573459715641,0.4132283245051575,2.7986502114731788e-06,0.03861387171458135,187.9166666666675,0.9810606060606061
64,0.33886255924170616,0.44574121298145164,0.0007994239271610123,0.08445914047922497,218.25000000000094,0.6398656215005599
65,0.17535545023696683,0.4088988077175598,5.8771071191015265e-05,0.042998578148197374,189.08333333333422,0.909288824383164
66,0.4336492890995261,0.47465415652619447,0.0050075135092408655,0.1159163474806893,231.58333333333397,0.5660182729148246
67,0.08530805687203792,0.3868326826314801,4.1935522602250584e-07,0.028864005437636536,176.3333333333341,0.9852216748768473
68,0.03554502369668247,0.37287056882100206,1.737442572584642e-07,0.009861938987575456,166.58333333333397,0.9743589743589743
69,0.20379146919431282,0.41420291961012257,7.1872828301461e-05,0.0550798763919024,193.91666666666765,0.9231699939503932
70,0.29383886255924174,0.45734905706951035,0.0002523197350474571,0.0971748833227314,218.25000000000065,0.7802726543704892
71,0.504739336492891,0.4798416336466993,0.004073884753156148,0.1222394848988993,235.583333333334,0.49773355444997236
72,0.08293838862559243,0.3868326826314801,5.502544276159156e-07,0.029989609392464464,176.3333333333341,0.9867724867724867
73,0.07819905213270142,0.3801342812006319,5.600718677354214e-07,0.024282744807253755,172.00000000000077,0.9886039886039886
74,0.03554502369668247,0.37366391045679137,6.781524901827254e-08,0.011433094963946355,167.25000000000065,0.9871794871794872
75,0.40758293838862564,0.4989262440758294,0.002672988443318059,0.07846304642946214,232.83333333333354,0.6152969662441248
76,0.29383886255924174,0.4579453400643858,0.0004932068492691906,0.06569671790055934,215.0000000000006,0.8224602401817591
77,0.07109004739336494,0.3817870389449825,4.1935522602250584e-07,0.022981720139853844,172.6666666666674,0.9855072463768116
78,0.13270142180094788,0.4070035641128435,4.007145531113465e-06,0.040124930773461895,187.08333333333422,0.9841463414634146
79,0.06398104265402844,0.384293299594512,4.1935522602250584e-07,0.022086117196532293,173.66666666666742,0.9826839826839827
80,0.36729857819905215,0.4639948161550646,0.0007680639405176614,0.1059722929448024,223.75000000000065,0.6798679867986799
81,0.37203791469194314,0.48380726698262244,0.002821416814614616,0.0976302103440773,230.2500000000004,0.5906588824020017
82,0.2132701421800948,0.4146919431279621,4.314989799613591e-05,0.056407787764114786,194.41666666666768,0.940772078265468
83,0.06161137440758294,0.4000502002612573,4.1935522602250584e-07,0.021209194724909,179.58333333333408,0.9809523809523809
84,0.05450236966824645,0.37566211318650683,2.841102507587901e-07,0.019622959706590212,169.7500000000007,0.9779411764705882
85,0.05924170616113744,0.384293299594512,4.1935522602250584e-07,0.022251641812592562,173.66666666666742,0.9789473684210527
86,0.13507109004739337,0.40465907353615654,5.454020969784063e-06,0.03474815835550075,184.5833333333342,0.96723044397463
87,0.27251184834123227,0.4390550947867299,0.0005689569652123675,0.07334076331988451,207.25000000000077,0.7235087719298245
88,0.05924170616113744,0.4000502002612573,1.737442572584642e-07,0.0201295160577423,179.58333333333408,0.9883040935672515
89,0.4146919431279621,0.48049805175018323,0.0015711493607365435,0.09605272934401608,233.66666666666725,0.5789473684210527
90,0.4431279620853081,0.5032150083515529,0.005711638424066419,0.08276593638015754,235.83333333333354,0.5756899588960658
91,0.08767772511848342,0.4037288227923953,3.071831266499565e-06,0.03068750618513922,182.9166666666675,0.9857549857549858
92,0.18009478672985785,0.42523495863121535,2.547660404568994e-05,0.055208207481255066,195.91666666666745,0.9387755102040817
93,0.3341232227488152,0.46216325767024197,0.001508697443564853,0.0818408118948909,217.91666666666723,0.6236559139784946
94,0.09478672985781991,0.4028028392538806,6.591644790117364e-06,0.027807711355418277,181.9166666666675,0.9729064039408867
95,0.7369668246445498,0.5593058532315031,0.04257318327119567,0.125118437522287,270.8333333333335,0.3620120806050454
96,0.1966824644549763,0.4357866945773994,3.55676016356144e-05,0.060388762482552504,201.58333333333402,0.9218855218855219
97,0.49526066350710907,0.4759404821536367,0.004719573381182352,0.11454232031856591,231.58333333333394,0.49264787175234936
98,0.08767772511848342,0.38112737719441603,0.002733580931815287,0.006010207460524685,175.83333333333354,0.7310606060606061
99,0.16113744075829384,0.4079489847031172,8.772890207064196e-05,0.03906920874490261,187.41666666666757,0.9013605442176871
100,0.13270142180094788,0.42115596622228285,6.126320686460373e-06,0.043565601517750276,191.91666666666742,0.9743954480796586
101,0.1279620853080569,0.39114039624652996,6.432898707700565e-06,0.03832296480723852,182.0000000000008,0.9714714714714715
102,0.04502369668246446,0.3772761287104016,0.0,0.018335426034621415,170.41666666666737,1.0
103,0.1066350710900474,0.3964380088367764,1.3754798879745707e-06,0.037084009059329855,184.0000000000007,0.9943181818181818
104,0.06398104265402844,0.3647394349214786,5.497232193981028e-07,0.01137030100570423,165.33333333333368,0.9927536231884058
105,0.20142180094786732,0.4132283245051575,0.0001968607944064365,0.05354144540258388,192.58333333333425,0.9026013309134906
106,0.5023696682464456,0.4871623797911011,0.005846834381868307,0.11178773513885794,237.08333333333388,0.5404554263565892
107,0.6919431279620853,0.5329955627153018,0.026043595974780936,0.14245095629327142,263.99999999999994,0.4094925155166119
108,0.3578199052132702,0.45321816236049534,0.002279945608093232,0.056418759036799424,211.00000000000054,0.6617180984153461
109,0.12085308056872039,0.4079489847031172,7.131889707368484e-06,0.04111958236132905,187.08333333333422,0.9910873440285205
110,0.1113744075829384,0.40747572602016696,7.2726063490813995e-06,0.03882367774412217,186.25000000000088,0.9870967741935484
111,0.4146919431279621,0.4798416336466993,0.0023233019502384507,0.10908726278715565,231.2500000000005,0.6748009691934925
112,0.5260663507109005,0.4878389942074776,0.009275783545522215,0.0755698579173173,228.83333333333366,0.4349614024962124
113,0.3981042654028436,0.4791870065885183,0.0021009092368134462,0.0981560672606382,229.66666666666717,0.6842793129200896
