region,metric,removal_percent,edges_lost,efficiency_loss_percent,nodes_removed,original_efficiency,new_efficiency,node_impacts,node_count,edge_count,subregion,condition
GBR_tides-only_Swain,degree,10,567,85.83133181183258,"[288, 292, 332, 226, 271, 111, 187, 59, 130, 252, 293, 120, 151, 191, 267, 290, 331, 266, 77, 153, 227, 248, 141, 253, 55, 113, 154, 157, 188, 524, 56, 74, 131, 169, 171, 207, 249, 272, 289, 425, 433, 440, 477, 537, 567, 95, 241, 311, 398, 100, 110, 185, 193, 265, 333, 361, 430, 535, 34]",0.08317306792451098,0.011784516016143071,"{288: 0.04915254237288135, 292: 0.04406779661016949, 332: 0.0423728813559322, 226: 0.04067796610169491, 271: 0.04067796610169491, 111: 0.03728813559322034, 187: 0.03559322033898305, 59: 0.03389830508474576, 130: 0.03389830508474576, 252: 0.03389830508474576, 293: 0.03389830508474576, 120: 0.03220338983050847, 151: 0.03220338983050847, 191: 0.03220338983050847, 267: 0.030508474576271184, 290: 0.0288135593220339, 331: 0.0288135593220339, 266: 0.02711864406779661, 77: 0.02542372881355932, 153: 0.02542372881355932, 227: 0.02542372881355932, 248: 0.023728813559322035, 141: 0.022033898305084745, 253: 0.022033898305084745, 55: 0.020338983050847456, 113: 0.020338983050847456, 154: 0.020338983050847456, 157: 0.020338983050847456, 188: 0.020338983050847456, 524: 0.020338983050847456, 56: 0.01864406779661017, 74: 0.01864406779661017, 131: 0.01864406779661017, 169: 0.01864406779661017, 171: 0.01864406779661017, 207: 0.01864406779661017, 249: 0.01864406779661017, 272: 0.01864406779661017, 289: 0.01864406779661017, 425: 0.01864406779661017, 433: 0.01864406779661017, 440: 0.01864406779661017, 477: 0.01864406779661017, 537: 0.01864406779661017, 567: 0.01864406779661017, 95: 0.01694915254237288, 241: 0.01694915254237288, 311: 0.01694915254237288, 398: 0.01694915254237288, 100: 0.015254237288135592, 110: 0.015254237288135592, 185: 0.015254237288135592, 193: 0.015254237288135592, 265: 0.015254237288135592, 333: 0.015254237288135592, 361: 0.015254237288135592, 430: 0.015254237288135592, 535: 0.015254237288135592, 34: 0.013559322033898305}",591,1151,Swain,tides-only
GBR_tides-only_Swain,degree,15,684,94.01082460026615,"[288, 292, 332, 226, 271, 111, 187, 59, 130, 252, 293, 120, 151, 191, 267, 290, 331, 266, 77, 153, 227, 248, 141, 253, 55, 113, 154, 157, 188, 524, 56, 74, 131, 169, 171, 207, 249, 272, 289, 425, 433, 440, 477, 537, 567, 95, 241, 311, 398, 100, 110, 185, 193, 265, 333, 361, 430, 535, 34, 117, 172, 186, 242, 250, 268, 346, 419, 426, 434, 479, 495, 542, 548, 561, 54, 104, 155, 177, 197, 246, 258, 353, 365, 416, 427, 510, 525, 526]",0.08317306792451098,0.0049813809233387385,"{288: 0.04915254237288135, 292: 0.04406779661016949, 332: 0.0423728813559322, 226: 0.04067796610169491, 271: 0.04067796610169491, 111: 0.03728813559322034, 187: 0.03559322033898305, 59: 0.03389830508474576, 130: 0.03389830508474576, 252: 0.03389830508474576, 293: 0.03389830508474576, 120: 0.03220338983050847, 151: 0.03220338983050847, 191: 0.03220338983050847, 267: 0.030508474576271184, 290: 0.0288135593220339, 331: 0.0288135593220339, 266: 0.02711864406779661, 77: 0.02542372881355932, 153: 0.02542372881355932, 227: 0.02542372881355932, 248: 0.023728813559322035, 141: 0.022033898305084745, 253: 0.022033898305084745, 55: 0.020338983050847456, 113: 0.020338983050847456, 154: 0.020338983050847456, 157: 0.020338983050847456, 188: 0.020338983050847456, 524: 0.020338983050847456, 56: 0.01864406779661017, 74: 0.01864406779661017, 131: 0.01864406779661017, 169: 0.01864406779661017, 171: 0.01864406779661017, 207: 0.01864406779661017, 249: 0.01864406779661017, 272: 0.01864406779661017, 289: 0.01864406779661017, 425: 0.01864406779661017, 433: 0.01864406779661017, 440: 0.01864406779661017, 477: 0.01864406779661017, 537: 0.01864406779661017, 567: 0.01864406779661017, 95: 0.01694915254237288, 241: 0.01694915254237288, 311: 0.01694915254237288, 398: 0.01694915254237288, 100: 0.015254237288135592, 110: 0.015254237288135592, 185: 0.015254237288135592, 193: 0.015254237288135592, 265: 0.015254237288135592, 333: 0.015254237288135592, 361: 0.015254237288135592, 430: 0.015254237288135592, 535: 0.015254237288135592, 34: 0.013559322033898305, 117: 0.013559322033898305, 172: 0.013559322033898305, 186: 0.013559322033898305, 242: 0.013559322033898305, 250: 0.013559322033898305, 268: 0.013559322033898305, 346: 0.013559322033898305, 419: 0.013559322033898305, 426: 0.013559322033898305, 434: 0.013559322033898305, 479: 0.013559322033898305, 495: 0.013559322033898305, 542: 0.013559322033898305, 548: 0.013559322033898305, 561: 0.013559322033898305, 54: 0.011864406779661017, 104: 0.011864406779661017, 155: 0.011864406779661017, 177: 0.011864406779661017, 197: 0.011864406779661017, 246: 0.011864406779661017, 258: 0.011864406779661017, 353: 0.011864406779661017, 365: 0.011864406779661017, 416: 0.011864406779661017, 427: 0.011864406779661017, 510: 0.011864406779661017, 525: 0.011864406779661017, 526: 0.011864406779661017}",591,1151,Swain,tides-only
GBR_wind-and-tides_Cairns,degree,5,38,67.15198804328791,"[8, 5, 65, 59]",0.09263374485596727,0.030428343586238298,"{8: 0.2, 5: 0.125, 65: 0.1125, 59: 0.1}",81,75,Cairns,wind-and-tides
GBR_wind-and-tides_Cairns,degree,10,53,86.8140795871546,"[8, 5, 65, 59, 1, 14, 63, 2]",0.09263374485596727,0.012214611872146121,"{8: 0.2, 5: 0.125, 65: 0.1125, 59: 0.1, 1: 0.08750000000000001, 14: 0.07500000000000001, 63: 0.07500000000000001, 2: 0.0625}",81,75,Cairns,wind-and-tides
GBR_wind-and-tides_Cairns,degree,15,61,90.44414474498974,"[8, 5, 65, 59, 1, 14, 63, 2, 27, 56, 7, 47]",0.09263374485596727,0.008851946575731741,"{8: 0.2, 5: 0.125, 65: 0.1125, 59: 0.1, 1: 0.08750000000000001, 14: 0.07500000000000001, 63: 0.07500000000000001, 2: 0.0625, 27: 0.0625, 56: 0.0625, 7: 0.05, 47: 0.05}",81,75,Cairns,wind-and-tides
GBR_wind-and-tides_Grenville,degree,5,350,58.97803574237946,"[471, 284, 178, 246, 335, 244, 311, 461, 633, 21, 68, 78, 190, 251, 317, 493, 20, 75, 216, 387, 491, 24, 67, 102, 209, 388, 504, 610, 60, 76, 100, 105]",0.0753148714140053,0.030895639632126118,"{471: 0.046153846153846156, 284: 0.02923076923076923, 178: 0.023076923076923078, 246: 0.023076923076923078, 335: 0.023076923076923078, 244: 0.021538461538461538, 311: 0.021538461538461538, 461: 0.021538461538461538, 633: 0.021538461538461538, 21: 0.02, 68: 0.02, 78: 0.02, 190: 0.02, 251: 0.02, 317: 0.02, 493: 0.02, 20: 0.01846153846153846, 75: 0.01846153846153846, 216: 0.01846153846153846, 387: 0.01846153846153846, 491: 0.01846153846153846, 24: 0.016923076923076923, 67: 0.016923076923076923, 102: 0.016923076923076923, 209: 0.016923076923076923, 388: 0.016923076923076923, 504: 0.016923076923076923, 610: 0.016923076923076923, 60: 0.015384615384615385, 76: 0.015384615384615385, 100: 0.015384615384615385, 105: 0.015384615384615385}",651,1055,Grenville,wind-and-tides
GBR_wind-and-tides_Grenville,degree,10,532,73.98451118407534,"[471, 284, 178, 246, 335, 244, 311, 461, 633, 21, 68, 78, 190, 251, 317, 493, 20, 75, 216, 387, 491, 24, 67, 102, 209, 388, 504, 610, 60, 76, 100, 105, 213, 530, 62, 77, 109, 111, 149, 151, 171, 187, 208, 279, 384, 395, 468, 526, 588, 592, 598, 612, 616, 25, 63, 64, 101, 103, 107, 168, 172, 197, 211, 240, 241]",0.0753148714140053,0.019593531949438588,"{471: 0.046153846153846156, 284: 0.02923076923076923, 178: 0.023076923076923078, 246: 0.023076923076923078, 335: 0.023076923076923078, 244: 0.021538461538461538, 311: 0.021538461538461538, 461: 0.021538461538461538, 633: 0.021538461538461538, 21: 0.02, 68: 0.02, 78: 0.02, 190: 0.02, 251: 0.02, 317: 0.02, 493: 0.02, 20: 0.01846153846153846, 75: 0.01846153846153846, 216: 0.01846153846153846, 387: 0.01846153846153846, 491: 0.01846153846153846, 24: 0.016923076923076923, 67: 0.016923076923076923, 102: 0.016923076923076923, 209: 0.016923076923076923, 388: 0.016923076923076923, 504: 0.016923076923076923, 610: 0.016923076923076923, 60: 0.015384615384615385, 76: 0.015384615384615385, 100: 0.015384615384615385, 105: 0.015384615384615385, 213: 0.015384615384615385, 530: 0.015384615384615385, 62: 0.013846153846153847, 77: 0.013846153846153847, 109: 0.013846153846153847, 111: 0.013846153846153847, 149: 0.013846153846153847, 151: 0.013846153846153847, 171: 0.013846153846153847, 187: 0.013846153846153847, 208: 0.013846153846153847, 279: 0.013846153846153847, 384: 0.013846153846153847, 395: 0.013846153846153847, 468: 0.013846153846153847, 526: 0.013846153846153847, 588: 0.013846153846153847, 592: 0.013846153846153847, 598: 0.013846153846153847, 612: 0.013846153846153847, 616: 0.013846153846153847, 25: 0.012307692307692308, 63: 0.012307692307692308, 64: 0.012307692307692308, 101: 0.012307692307692308, 103: 0.012307692307692308, 107: 0.012307692307692308, 168: 0.012307692307692308, 172: 0.012307692307692308, 197: 0.012307692307692308, 211: 0.012307692307692308, 240: 0.012307692307692308, 241: 0.012307692307692308}",651,1055,Grenville,wind-and-tides
GBR_wind-and-tides_Grenville,degree,15,678,93.62753553107474,"[471, 284, 178, 246, 335, 244, 311, 461, 633, 21, 68, 78, 190, 251, 317, 493, 20, 75, 216, 387, 491, 24, 67, 102, 209, 388, 504, 610, 60, 76, 100, 105, 213, 530, 62, 77, 109, 111, 149, 151, 171, 187, 208, 279, 384, 395, 468, 526, 588, 592, 598, 612, 616, 25, 63, 64, 101, 103, 107, 168, 172, 197, 211, 240, 241, 242, 278, 295, 325, 334, 346, 372, 390, 503, 509, 587, 645, 108, 156, 179, 182, 188, 207, 210, 291, 300, 306, 344, 349, 378, 389, 528, 529, 554, 66, 69, 87]",0.0753148714140053,0.004799413420674234,"{471: 0.046153846153846156, 284: 0.02923076923076923, 178: 0.023076923076923078, 246: 0.023076923076923078, 335: 0.023076923076923078, 244: 0.021538461538461538, 311: 0.021538461538461538, 461: 0.021538461538461538, 633: 0.021538461538461538, 21: 0.02, 68: 0.02, 78: 0.02, 190: 0.02, 251: 0.02, 317: 0.02, 493: 0.02, 20: 0.01846153846153846, 75: 0.01846153846153846, 216: 0.01846153846153846, 387: 0.01846153846153846, 491: 0.01846153846153846, 24: 0.016923076923076923, 67: 0.016923076923076923, 102: 0.016923076923076923, 209: 0.016923076923076923, 388: 0.016923076923076923, 504: 0.016923076923076923, 610: 0.016923076923076923, 60: 0.015384615384615385, 76: 0.015384615384615385, 100: 0.015384615384615385, 105: 0.015384615384615385, 213: 0.015384615384615385, 530: 0.015384615384615385, 62: 0.013846153846153847, 77: 0.013846153846153847, 109: 0.013846153846153847, 111: 0.013846153846153847, 149: 0.013846153846153847, 151: 0.013846153846153847, 171: 0.013846153846153847, 187: 0.013846153846153847, 208: 0.013846153846153847, 279: 0.013846153846153847, 384: 0.013846153846153847, 395: 0.013846153846153847, 468: 0.013846153846153847, 526: 0.013846153846153847, 588: 0.013846153846153847, 592: 0.013846153846153847, 598: 0.013846153846153847, 612: 0.013846153846153847, 616: 0.013846153846153847, 25: 0.012307692307692308, 63: 0.012307692307692308, 64: 0.012307692307692308, 101: 0.012307692307692308, 103: 0.012307692307692308, 107: 0.012307692307692308, 168: 0.012307692307692308, 172: 0.012307692307692308, 197: 0.012307692307692308, 211: 0.012307692307692308, 240: 0.012307692307692308, 241: 0.012307692307692308, 242: 0.012307692307692308, 278: 0.012307692307692308, 295: 0.012307692307692308, 325: 0.012307692307692308, 334: 0.012307692307692308, 346: 0.012307692307692308, 372: 0.012307692307692308, 390: 0.012307692307692308, 503: 0.012307692307692308, 509: 0.012307692307692308, 587: 0.012307692307692308, 645: 0.012307692307692308, 108: 0.010769230769230769, 156: 0.010769230769230769, 179: 0.010769230769230769, 182: 0.010769230769230769, 188: 0.010769230769230769, 207: 0.010769230769230769, 210: 0.010769230769230769, 291: 0.010769230769230769, 300: 0.010769230769230769, 306: 0.010769230769230769, 344: 0.010769230769230769, 349: 0.010769230769230769, 378: 0.010769230769230769, 389: 0.010769230769230769, 528: 0.010769230769230769, 529: 0.010769230769230769, 554: 0.010769230769230769, 66: 0.00923076923076923, 69: 0.00923076923076923, 87: 0.00923076923076923}",651,1055,Grenville,wind-and-tides
GBR_wind-and-tides_Swain,degree,5,326,63.94098928781348,"[288, 332, 151, 271, 292, 226, 252, 59, 111, 120, 130, 333, 187, 331, 537, 293, 290, 96, 141, 266, 484, 272, 153, 167, 169, 248, 249, 289, 567]",0.07069002151965399,0.02549012243221899,"{288: 0.04915254237288135, 332: 0.0423728813559322, 151: 0.03898305084745762, 271: 0.03898305084745762, 292: 0.03728813559322034, 226: 0.03220338983050847, 252: 0.030508474576271184, 59: 0.0288135593220339, 111: 0.0288135593220339, 120: 0.02711864406779661, 130: 0.02711864406779661, 333: 0.02711864406779661, 187: 0.02542372881355932, 331: 0.02542372881355932, 537: 0.02542372881355932, 293: 0.023728813559322035, 290: 0.022033898305084745, 96: 0.020338983050847456, 141: 0.020338983050847456, 266: 0.020338983050847456, 484: 0.020338983050847456, 272: 0.01864406779661017, 153: 0.01694915254237288, 167: 0.01694915254237288, 169: 0.01694915254237288, 248: 0.01694915254237288, 249: 0.01694915254237288, 289: 0.01694915254237288, 567: 0.01694915254237288}",591,787,Swain,wind-and-tides
GBR_wind-and-tides_Swain,degree,10,466,80.8999765374375,"[288, 332, 151, 271, 292, 226, 252, 59, 111, 120, 130, 333, 187, 331, 537, 293, 290, 96, 141, 266, 484, 272, 153, 167, 169, 248, 249, 289, 567, 77, 131, 171, 193, 311, 577, 100, 110, 138, 157, 227, 241, 246, 411, 454, 555, 578, 57, 78, 185, 207, 267, 268, 312, 324, 349, 370, 396, 524, 546]",0.07069002151965399,0.013501810695944402,"{288: 0.04915254237288135, 332: 0.0423728813559322, 151: 0.03898305084745762, 271: 0.03898305084745762, 292: 0.03728813559322034, 226: 0.03220338983050847, 252: 0.030508474576271184, 59: 0.0288135593220339, 111: 0.0288135593220339, 120: 0.02711864406779661, 130: 0.02711864406779661, 333: 0.02711864406779661, 187: 0.02542372881355932, 331: 0.02542372881355932, 537: 0.02542372881355932, 293: 0.023728813559322035, 290: 0.022033898305084745, 96: 0.020338983050847456, 141: 0.020338983050847456, 266: 0.020338983050847456, 484: 0.020338983050847456, 272: 0.01864406779661017, 153: 0.01694915254237288, 167: 0.01694915254237288, 169: 0.01694915254237288, 248: 0.01694915254237288, 249: 0.01694915254237288, 289: 0.01694915254237288, 567: 0.01694915254237288, 77: 0.015254237288135592, 131: 0.015254237288135592, 171: 0.015254237288135592, 193: 0.015254237288135592, 311: 0.015254237288135592, 577: 0.015254237288135592, 100: 0.013559322033898305, 110: 0.013559322033898305, 138: 0.013559322033898305, 157: 0.013559322033898305, 227: 0.013559322033898305, 241: 0.013559322033898305, 246: 0.013559322033898305, 411: 0.013559322033898305, 454: 0.013559322033898305, 555: 0.013559322033898305, 578: 0.013559322033898305, 57: 0.011864406779661017, 78: 0.011864406779661017, 185: 0.011864406779661017, 207: 0.011864406779661017, 267: 0.011864406779661017, 268: 0.011864406779661017, 312: 0.011864406779661017, 324: 0.011864406779661017, 349: 0.011864406779661017, 370: 0.011864406779661017, 396: 0.011864406779661017, 524: 0.011864406779661017, 546: 0.011864406779661017}",591,787,Swain,wind-and-tides
